Filming Date,#Camera,Hike,GPS-ID,Elevation,Plant Family,Plant Genus,Plant Species,Flower Height,#Flowers,Memory Card,Outside Pic,Inside Pic,Video stored,Comment,Frames Found,Frames with Hummingbirds,Hummingbirds,Comment,
22/07/14,8,Main Trail,FH819,2083,Gesneriaceae,Alloplectus,tetragonoides,1.4,2,8,,FH819_01_001.jpg,66.00%,,5699 / 684,2 / 0,1xBrown Inca / 1 x Unidentified,,
22/07/14,2,Main Trail,FH121,2091,Ericaceae,Psamisia,ulbrichiana,2.1,7,1,,FH121_01_001.JPG,66.00%,branch with plant is moving contineously throughout the day (because of wind?) and nearly disappears in the afternoon.,6874 / 76,4 / 0,1xBrown Inca / 1 x Unidentified,very windy morning which explains lots of found frames,
22/07/14,5,Main Trail,FH521,2111,Gesneriaceae,Columnea,leopardis,0.9,2,5,,FH521_01_000.jpg,66.00%,Around noon a branch fell down and hit a by-standing Maranthaceae which hides the filmed plant at least partly for the rest of the day,3944 / 732,0 / 0,,Halfway through the morning a leaf of a neigboring plant started blocking the view,
22/07/14,6,Main Trail,FH621,2132,Gesneriaceae,Alloplectus,teuscheri,1.3,3,6,,FH621_01_001.jpg,66.00%,,351 / 90,1 / 1,2xViolet-tailed Sylph_fem,,
22/07/14,12,Self-Guided,FH1201,1894,Campanulaceae,Centropogon,solanifolius,1,1,12,,FH1201_01_001.jpg,66.00%,,1101 / 136,2 / 1,2 x Tawny-bellied Hermit,,
22/07/14,7,Self-Guided,FH719,1825,Campanulaceae,Burmeistra,multiflora,1.2,4,7,,FH719_01_000.jpg,66.00%,,7315 / 2048,0 / 0,,Flower more interesting for bats,
22/07/14,13,Main Trail,FH1301,1911,Rubiaceae,Palicourea,acetosoides,5,6,13,,,66.00%,,,,,,
01/08/14,9,Main Trail,FH904,2029,Heliconiaceae,Heliconia,burleana,2.2,4,3,FH903_OUT,FH904_01_000.jpg,66.00%,,706 / 67,0 / 0,,Another failed attempt on a Heliconia,
01/08/14,6,Main Trail,FH622,2114,Campanulaceae,Centropogon,solanifolius,1.4,1,6,FH622_OUT,FH622_01_001.jpg,66.00%,,1441 / 276,11 / 1,1xTawny-bellied Hermit; 1xCollared Inca; 1xUnidentified,,
01/08/14,2,Main Trail,FH220,2231,Gesneriaceae,Hepiella,ulmifolia,2,1,2,FH220_OUT,FH220_01_000.jpg,66.00%,,6 / 0 ,0 / 0,,Looks like the flower had fallen.,
01/08/14,4,Main Trail,FH421,2265,Gesneriaceae,Columnea,medicinalis,1.2,2,4,FH421_OUT,FH421_01_001.jpg,66.00%,,1109 / 215,0 / 1,1xTawny-bellied Hermit,,
01/08/14,8,Main Trail,FH820,2281,Gesneriaceae,Alloplectus,teuscheri,2,6,8,FH820_OUT,FH820_01_001.jpg,66.00%,,337 / 62,3 / 8 ,3XViolet-tailed Sylph_fem,,
01/08/14,1,Main Trail,FH122,2308,Gesneriaceae,Alloplectus,teuscheri,0.4,5,1,FH122_OUT,FH122_01_001.jpg,66.00%,,169 / 0,3 / 0,1xGorgeted Sunangel,,
01/08/14,11,Main Trail,FH1102,2324,Gesneriaceae,Columnea,leopardis,0.5,1,11,N/A,FH1102_01_000.jpg,66.00%,,47 / 0 ,0 / 0,,,
01/08/14,5,Main Trail,FH522,2324,Bromeliaceae,Pitcairnia,sodiroi,1.8,2,5,FH522_OUT,FH522_01_000.jpg,66.00%,,219 / 1,0 / 0,,"Strange, that looked like a very inviting Bromelias-inflorecence, but no hummingbirds",
01/08/14,7,Self-Guided,FH720,1876,Rubiaceae,Palicourea,demissa,2.2,5,7,N/A,FH720_01_001.jpg,66.00%,,39 / 40,0 / 1,1xUnidentified,,
01/08/14,12,Self-Guided,FH1202,1832,Ericaceae,Psamisia,ulbrichiana,0.7,4,12,FH1202_OUT,FH1202_01_001.jpg,66.00%,,1730 / 1011,0 / 0,,Nothing in the Ericaceae ...,
10/09/14,9,Main Trail,FH905,1948,Gesneriaceae,Besleria,solanoides,1.7,5,9,,FH905_01_001.jpg,66.00%,,1634 / 11,7 / 0 ,2xBooted Racket-tail_mal,"A left of the same plant bent down and covered the inflorence, still some birds are recognizable",
10/09/14,8,Main Trail,FH821,1956,Ericaceae,Psamisia,sodiroi,0.6,3,8,,FH821_01_001.jpg,66.00%,,478 / 111,2 / 8 ,5xViolet-tailed Sylph_mal,"Bird looks like it's stuck there, almost in the same position, but at different times of the day",
10/09/14,4,Main Trail,FH422,2037,Heliconiaceae,Heliconia,burleana,1.7,3,4,,FH422_01_000.jpg,66.00%,,762 / 946,0 / 0,,"I tied the plant in order to be in focus of the camera, but apparently it broke, I shifted it back into a good position around 10:40am, but still ... no hummingbirds",
10/09/14,11,Main Trail,FH1103,2115,Gesneriaceae,Columnea,medicinalis,4,3,11,,FH1103_01_001.jpg,66.00%,highest camera ever,1294 / 17,13 / 4,4xTawny-bellied Hermit,,
10/09/14,12,Main Trail,FH1203,2108,Campanulaceae,Centropogon,solanifolius,1,2,12,,FH1203_01_001.jpg,66.00%,,1873 / 353,25 / 0,"1xViolet-tailed Sylph_male; 1xWhite-necked Jacobin_female, 2xUndentified",,
10/09/14,2,Main Trail,FH221,2148,Gesneriaceae,Besleria,solanoides,1.5,10,2,,FH221_01_001.jpg,66.00%,,5798 / 609,41 / 3,1xViolet-tailed Sylph; ?x?Speckled Hummingbird?; 1xBooted Racket-tailed_fem,I'm not sure about the speckled ... the picture is not very clear,
10/09/14,5,Main Trail,FH523,2186,Gesneriaceae,Columnea,leopardis,1.6,1,5,,FH523_01_000.jpg,66.00%,Camera failed with low battery after a few hours. It was equipped with 8 fully charged batteries. ,517 / ?,0 / ?,,,
10/09/14,6,Main Trail,FH623,2186,Onagraceae,Fuchsia,macrostigma,0.3,2,6,,FH623_01_001.jpg,66.00%,,34 / 280,1 / 7 ,3xTawny-bellied Hermit; 1xBrown Inca,,
10/09/14,13,Main Trail,FH1302,1954,Marcgraviaceae,Norantea,anomala,13,40,13,,FH1302_04_001.jpg,66.00%,"first attempt with video camera – camera produced 2,5 hours of footage – 11 files each 2 Gbyte",3471,94,3xUnidentified; 2xBooted Racket-Tail_male,,
23/09/14,13,Main Trail,FH1303,2130,Melastomataceae,Meriania,tomentosa,10,3,13,,FH1303_01_001.jpg,66.00%,,6994,468,"3xUnidentified;5xBuff-tailed Coronet;3x?Violet-tailed sylph_fem?,1XBrownInca,2x?Gorgeted Sunangel?","The amount of hummingbirds (and of different species) coming to the three flowers is incredible – it's only 2,5 hours footage – and there are more humminbgirds than in any other camera during an entire day! Identification is extremely difficult!",
22/09/14,9,Main Trail,FH906,1947,Gesneriaceae,Columnea,picta,1,2,,,FH906_01_000.jpg,66.00%,,59 / 1274,0 / 0,,,
22/09/14,2,Lek,FH222,1935,Gesneriaceae,Gasteranthus,quitensis,0.8,2,,,FH222_03_001.jpg,66.00%,,3 / 5 / 169 / 58,0 / 0 / 0 / 1,1xTawny-bellied Hermit,,
22/09/14,12,Lek,FH1204,1907,Gesneriaceae,Besleria,solanoides,3.2,8,,,FH1204_01_001.jpg,66.00%,,5 / 29 / 841 / 48,5 / 7 /35 / 14,20xViolet-tailed Sylph_male,The Sylph seems to live in the plant,
22/09/14,8,Lek,FH822,1834,Zingiberaceae,Renealmia,sessilifolia,1.4,1,,,FH822_01_001.jpg,66.00%,,139 / 1842 / 1913 / 596,4 / 0 / 7 / 1,3xBrown Inca / 1xViolet-tailed Sylph_fem / 2xUnidentifed (prob Brown Inca),,
22/09/14,4,Lek,FH423,1799,Heliconiaceae,Heliconia,impudica,1.4,1,,,FH423_01_000.jpg,66.00%,,0 / 11 / 1354 / 139,0 / 0 / 0 / 0 ,,Another Heliconia with no hummingbirds,
22/09/14,6,Lek,FH624,1734,Gesneriaceae,Kohleria,Sp 2,1.2,1,,,FH624_01_000.jpg,66.00%,,2 / 17 / 5 / 15,0 / 0 / 0 / 0 ,,Flower fell some time during first afternoon,
22/09/14,5,Lek,FH524,1754,Begoniaceae,Begonia,longirostris,0.6,2,,,FH524_02_000.jpg,66.00%,,0 / 269 / 3 / 53,0 / 0 / 0 / 0 ,,"That plant was practically in the water of a river near the Lek, I was hoping for hummingbirds that live close to water (Lancebill?), but ... no hits",
22/09/14,11,Lek,FH1104,1763,Heliconiaceae,Heliconia,impudica,1.6,2,,,FH1104_01_000.jpg,66.00%,,1 / 258 / 95 / 118,0 / 0 / 0 / 0 ,,,
22/09/14,7,Lek,FH722,1761,Zingiberaceae,Renealmia,sessilifolia,2,2,,,N/A,66.00%,"A branch crashed onto the camera during the night, so no usable footage there.",0 / 0 / 25 / 0 ,0 / 0 / 0 / 0 ,,Branch crashed onto camera; no useful data,
07/10/14,2,Main Trail,FH223,2227,Gesneriaceae,Hepiella,ulmifolia,1,1,2,,FH223_01_000.jpg,66.00%,,266 / 158,0 / 0,,,
07/10/14,9,Main Trail,FH907,2275,Campanulaceae,Centropogon,solanifolius,0.6,1,3,,FH907_01_001.jpg,66.00%,,960 / 978,3 / 2,4xTawny-bellied Hermit,,
07/10/14,12,Main Trail,FH1205,2320,Gesneriaceae,Hepiella,ulmifolia,0.6,4,12,,FH1205_01_001.jpg,66.00%,,52 / 31,?? / 0,1xUnidentified,Bird maybe a flowerpiercer (female white-sided?),
07/10/14,8,Main Trail,FH823,2320,Ericaceae,Macleania,stricta,1.7,4,8,,FH823_01_001.jpg,66.00%,Camera produced three files.,720 / 0 / 2,86 / 2,9xSpeckled Hummingbird / 1xCollared Inca / 1x Unidentified,A pretty extreme drop in the activity during the afternoon (due to expected frame rate?),
07/10/14,7,Main Trail,FH723,2367,Rubiaceae,Faramea,calyptrata,1.6,1,7,,FH723_01_000.jpg,66.00%,FH723_OUT.jpg,5638 / 2363,0 / 0,,,
07/10/14,4,Main Trail,FH424,2419,Bromeliaceae,Tillandsia,complanata,1.3,1,4,,FH424_01_000.jpg,66.00%,,46 / 2,0 / 0,,,
07/10/14,5,Main Trail,FH525,2425,Campanulaceae,Centropogon,nigricans,0.5,1,5,,FH525_01_001.jpg,66.00%,,439 / 89,0 / 0,1xCollared Inca,"The Collared Inca has no contact with the plant in the found frame, it's just near. Otherwise C. Nigricans disappoints as always",
07/10/14,11,Main Trail,FH1105,2473,Ericaceae,Macleania,macrantha,2,2,11,,FH1105_01_001.jpg,66.00%,,221 / 1459,22 / 14,5xCollared Inca; 2x ?Booted Rackettail_fem,,
07/10/14,6,Main Trail,FH625,2271,Campanulaceae,Centropogon,solanifolius,1.3,1,6,,FH625_01_001.jpg,66.00%,,164 / 57,10 / 2,5xTawny-bellied Hermit,The most reliable of all flowers.,
07/10/14,13,Main Trail,FH1304,1967,Marcgraviaceae,Norantea,anomala,10,???,13,,FH1304_03_001.jpg,66.00%,"Five files (total: ~1,5 hours) were produced.",147,74,?xUnidentified,"Judging from direct observation I would have expected many more birds. Golden Tanager well visible, the hummingbirds are not identifiable in spite of maximum zoom",
11/10/14,8,Self-Guided,FH824,1834,Bromeliaceae,?Guzmania,,1,3,8,FH824_OUT.jpg,FH824_01_001.jpg,66.00%,,716/ 529,17 / 13,10xBrown Inca,I think we've found the polinator of that bromelia! :),
22/10/14,7,Main Trail,FH724,1973,Gesneriaceae,Gasteranthus,lateralis,1.3,2,7,,FH724_01_001.jpg,66.00%,,111 / 8,1 / 0,,,
22/10/14,9,Main Trail,FH908,2015,Bromeliaceae,Mezobromelia,capituligera,1.1,3,3,,FH908_01_001.jpg,66.00%,,94 / 10,28 / 4,"4xTawny-bellied Hermit,1xBrown Inca, 3xViolet-tailed Sylph(fem)",,
22/10/14,11,Main Trail,FH1106,2035,Heliconiaceae,Heliconia,burleana,1.5,3,11,,FH1106_01_001.jpg,66.00%,"Wanted to give Heliconia burleana another try, but with no succes",4812 / 2750,1 / 0,1x?Wedge-billed hummingbird (but no flower contact),Might be worth analyzing the complete video manually.,
22/10/14,2,Main Trail,FH224,2174,Gesneriaceae,Besleria,solanoides,2.3,8,2,,FH224_01_001.jpg,66.00%,,1042 / 3202,5 / 0,Gorgeted Sunangel and / or Booted Rackettail,"Inspite of many open flowers and a rather high branch, very few hummingbirds appear",
22/10/14,6,Main Trail,FH626,2222,Gesneriaceae,Hepiella,ulmifolia,1.2,2,6,,FH626_01_001.jpg,66.00%,,10 / 1,4 / 0,1xViolet-tailed sylph (Female),The Sylph is feeding on the bottom of fallen flowers!,
22/10/14,12,Main Trail,FH1206,2273,Ericaceae,Macleania,stricta,0.6,2,12,,FH1206_01_001.jpg,66.00%,,1703 / 3200,0 / 0,,"The rain pushed the branch down in the afternoon, as of 5pm the flowers are pretty much out of sight, but I think a feeding a hummingbird would have pushed them up again, so we can probably assume ZERO contacts throughout the day",
22/10/14,8,Main Trail,FH825,2273,Campanulaceae,Burmeistra,cylindrocarpa,2,1,8,,FH825_01_001.jpg,66.00%,,8535 / 9811,1 / 0,1xUnidentified,"Also the video shows only that one frame of the ?bird? So it cannot be identified, but it's also not clear whether it was on the flower.",
22/10/14,5,Main Trail,FH526,2300,Gesneriaceae,Gasteranthus,lateralis,0.8,2,5,,FH526_01_000.jpg,66.00%,,10 / 19,0 / 0,,,
22/10/14,4,Main Trail,FH425,2317,Ericaceae,Macleania,bulata,1.2,1,4,,FH425_01_001.jpg,66.00%,Flower  seems to get pierced a lot.,3119 / 461,18 / 3,1xBrown Inca / 1xGorgeted Sunangel / 2xGreen-fronted Lancebill,,
23/10/14,13,Main Trail,FH1305,2243,Melastomataceae,Meriania,tomentosa,11,4,13,,"FH1305_08_000,jpg",66.00%,Camera produced 8 videos between 8:12 and 10:41,31,0,,Wrong time of the day? MotionMeerkat didn't find a single hummingbird,
06/11/14,6,Lek,FH627,1732,Fabaceae,Erythrina,Sp 1,4,5,6,,FH627_01_000.jpg,66.00%,,781 / 10,0 / 0,,"No hummingbirds, but quite few wasps.",
06/11/14,11,Lek,FH1107,1742,Campanulaceae,Burmeistra,Sp 2,1.8,1,11,,FH1107_01_000.jpg,66.00%,,1613 / 48,0 / 0,,,
06/11/14,8,Lek,FH826,1744,Zingiberaceae,Renealmia,sessilifolia,1.4,1,8,,FH826_03_000.jpg,66.00%,Camera produced 3 files.,1707 / 1 / 15,0 / 0 / 0,,"No hummingbird, but a butterfly.",
06/11/14,4,Lek,FH426,1756,Zingiberaceae,Renealmia,sessilifolia,1.8,1,4,,FH426_01_001.jpg,66.00%,,264 / 16,3 / 1,3xUnidentified,"Unfortunately the hummingbirds approached from behind the inflorecence (from the viewpoint of the camera), so I cannot identify them.",
06/11/14,5,Lek,FH527,1745,Gesneriaceae,Besleria,solanoides,2.2,10,5,,FH527_01_001.jpg,66.00%,,1969 / 66,32 / 1,"5xBooted Rackettail_fem (1xdifficult to see, it's feeding on a flower in the backround)",,
06/11/14,9,Lek,FH909,1841,Zingiberaceae,Renealmia,sessilifolia,1.5,4,7,,FH909_01_000.jpg,66.00%,"Camera and stick that I'd tied it to fell into a ravine. Camera recovered, no damage done",,,,,
06/11/14,7,Lek,FH725,1858,Gesneriaceae,Besleria,solanoides,2.2,10,3,,FH725_01_001.jpg,66.00%,,5258 / 278,23 / 0 ,2xViolet-tailed Sylph_fem; 1xBooted Rackettail_fem,,
06/11/14,12,Lek,FH1207,1881,Gesneriaceae,Besleria,solanoides,1.6,4,12,,FH1207_01_001.jpg,66.00%,,1119 / 81,12 / 9,"3xViolet-tailed Sylph_female; 1xBooted Rackettailed_male, 1xUnidentified",,
06/11/14,2,Lek,FH225,1911,Gesneriaceae,Gasteranthus,quitensis,0.25,4,2,,FH225_01_001.jpg,66.00%,,1031 / 117,4 / 0,1xViolet-tailed Sylph_male,worth it!,
07/11/14,13,Main Trail,FH1306,1952,Marcgraviaceae,Norantea,anomala,10,25,13,,FH1306_01_001.jpg,66.00%,"7 Videos were produced, in total about 2 hours footage.",213 / 185 / 465 / 178 / 184 / 55 / 36,3  / ?? / 19 / 2 / 0 / 0 / 0,"1xSparkling Violetear, 1 Unidentified","Unfortunatly the Violetear doesn't go the flower,but is picking something else.",
19/11/14,4,Main Trail,FH427,2033,Ericaceae,Psamisia,ecuadorensis,1.2,4,4,,,66.00%,,2763 / 1135,9 / 12,8xBrown Inca,,
19/11/14,9,Main Trail,FH910,2114,Campanulaceae,Centropogon,solanifolius,1.3,1,3,,,66.00%,,4791 / 595,6 / 0,1xTawny-bellied Hermit,"No suprises here, though only one TBH in one day might be a hint there arent too many around now",
19/11/14,5,Main Trail,FH528,2264,Bromeliaceae,Guzmania,squarrosa,1.5,1,5,,,66.00%,,694 / 199,1 / 0,1xUnidentified,"Checked the video, the bird indeed only appears in one frame – could be a female Violet-tailed Sylph",
19/11/14,12,Main Trail,FH1208,2320,Ericaceae,Psamisia,sodiroi,3,4,12,,FH1208_01_000.jpg,66.00%,,1755 / 918,0 / 0,,"Three well exposed flowers (two fell off in the afternoon) almost three meters high, but no hummingbirds all through the day.",
19/11/14,6,Main Trail,FH628,2326,Ericaceae,Macleania,stricta,1.2,4,6,,FH628_01_000.jpg,66.00%,,936 / 347,0 / 0,,Three open flowers out in the open but not birds althrough the day.,
19/11/14,11,Main Trail,FH1108,2378,Ericaceae,Psamisia,sodiroi,1,6,11,,,66.00%,,415 / 1093,42,2xSpecked Humminbird/2xGorgeted Sunangel/1xViolet-tailed Sylph_fem,Not absolutetly sure about the Sylph,
19/11/14,8,Main Trail,FH827,2354,Bromeliaceae,Guzmania,squarrosa,1.2,4,8,,,66.00%,,3968 / 349,58 / 10 ,"4xViolet-tailed Sylph_male, 4xSpeckled Hummingbird",,
19/11/14,7,Main Trail,FH726,2354,Gesneriaceae,Gasteranthus,lateralis,1.1,2,7,,,66.00%,,1678 / 521,4 / 3,2xSpeckled Hummingbird,Speckled HB seems to be quite an allrounder,
19/11/14,2,Main Trail,FH226,2124,Gesneriaceae,Besleria,solanoides,1.8,10,2,,,66.00%,,353 / 324,17 / 0,1XBooted Rackettail_female,,
19/11/14,13,Main Trail,FH1307,1953,Marcgraviaceae,Norantea,anomala,7,30,13,,,66.00%,5 Videos were produced.,2283 / 896 / 95  395 / 1866,0 / 4 / 56 / 0 / 138,4xSparkling Violetear,,
02/12/14,4,Main Trail,FH428,1931,Gesneriaceae,Besleria,solanoides,1.8,5,4,,,66.00%,,1163 / 224,11 / 7 ,2xViolet-tailed Sylph_female,,
02/12/14,2,Main Trail,FH227,1963,Gesneriaceae,Gasteranthus,quitensis,0.3,8,2,,,66.00%,,32 / 17,16 / 0 ,1xViolet-tailed Sylph_female,,
02/12/14,9,Main Trail,FH911,1967,Rubiaceae,Palicourea,acetosoides,3.5,6,3,,,66.00%,,868 / 191,0 / 1,1xViolet-tailed Sylph_male,Heliconius butterflies seem to be interested too.,
02/12/14,6,Main Trail,FH629,1969,Bromeliaceae,Guzmania,jaramilloi,0.7,1,6,,,66.00%,,395 / 114,0 / 1,1xViolet-tailed Sylph_female,,
02/12/14,7,Main Trail,FH727,1966,Bromeliaceae,Mezobromelia,capituligera,1.5,2,7,,,66.00%,,642 / 3,19 / 2,7xBrown Inca/ 4xViolet-tailed Sylph_female,,
02/12/14,12,Main Trail,FH1209,1997,Bromeliaceae,Guzmania,jaramilloi,1.6,2,12,,,66.00%,,260 / 91,1 / 4,"3xViolet-tailed Sylph_male, 1xTawny-bellied Hermit",,
02/12/14,5,Lek,FH529,1824,Zingiberaceae,Renealmia,sessilifolia,1.5,1,5,,,66.00%,,330 / 177,2 / 0,1xBrown Inca,,
02/12/14,11,Lek,FH1109,1813,Campanulaceae,Burmeistra,Sp 2,2,1,11,,,66.00%,,747 / 130,0 / 0,,"No moths, no bats, no hummingbirds, but quite some Cock-of-the-Rock activity in the early afternoon.",
02/12/14,8,Lek,FH828,1708?,Solancaceae,,Sp 2,2.5,4,8,,,66.00%,,673 / 140,0 / 0,,Only bumblebees,
02/12/14,13,Main Trail,FH1308,2115,Ericaceae,Macleania,bulata,12,4,13,,,66.00%,9 videos were produced – between 6:63 and 9: 50,30 / 0 / 1 / 0 / 0 / 0 / 934 / 299 / 208 ,0 / 0 / 0 / 0 / 0 / 0 / 0 / 14 / 0,1xBrown Inca,,
16/12/14,4,Main Trail,FH429,2216,Campanulaceae,Centropogon,solanifolius,1.6,1,4,,,66.00%,,89 / 155,16 / 2,,,
16/12/14,2,Main Trail,FH228,2322,Ericaceae,Macleania,stricta,1.7,3,2,,,66.00%,,,0 / 3,,,
16/12/14,9,Main Trail,FH912,2314,Rubiaceae,Palicourea,acetosoides,1.6,15,3,,,66.00%,,,,,,
16/12/14,6,Main Trail,FH630,2282,Gesneriaceae,Hepiella,ulmifolia,0.5,2,6,,,66.00%,,,0 / 0,,,
16/12/14,7,Main Trail,FH728,2345,Gesneriaceae,Hepiella,ulmifolia,0.9,2,7,,,66.00%,,,4 / 0,,,
16/12/14,12,Main Trail,FH1210,2316,Ericaceae,Psamisia,sodiroi,0.7,2,12,,,66.00%,,,2 / 0,,,
16/12/14,5,Main Trail,FH530,2451,Ericaceae,Psamisia,sodiroi,1.2,6,5,,,66.00%,,,3 / 3,,,
16/12/14,11,Main Trail,FH1110,2287,Zingiberaceae,Renealmia,Sp 1,0.4,2,11,,,66.00%,,,0 / 1,1xViolet-tailed Sylph_male,,
16/12/14,8,Main Trail,FH829,2318,Bromeliaceae,Mezobromelia,capituligera,1.7,3,8,,,66.00%,,,0 / 0,,,
17/12/14,13,Main Trail,FH1309,2134,Alstroemeriaceae,Bomarea,pardina,7,20,13,,,66.00%,,,0 / 0,,,
13/01/15,9,Main Trail,FH913,2312,Gesneriaceae,Hepiella,ulmifolia,1,1,3,,,66.00%,,,5 / 10,Strange. This plant is usually quite attractive to hummingbirds and considering that there aren't many flower currently I expected some guests here.,,
13/01/15,7,Main Trail,FH729,2327,Gesneriaceae,Columnea,ovatifolia,2,1,7,,,66.00%,,129 / 213,0,"I was happy to have found that flower as it usually hangs quite high, but it seems that this one had been pollinated already, although it is still hanging there, you can see that it's only hanging on the style not on the actually bottom of the flower. Bad luck there.",,
13/01/15,11,Main Trail,FH1111,2329,Onagraceae,Fuchsia,macrostigma,0.7,1,11,,,66.00%,,30 / 57,4 / 1,2xTawny-bellied Hermit,,
13/01/15,5,Main Trail,FH531,2156,Alstroemeriaceae,Bomarea,pardina,1.9,18,5,,,66.00%,,104 / 266,10 / 7,"2xCollared Inca, 1xBrown Inca (doesnt touch flower though)",,
13/01/15,2,Main Trail,FH229,2144,Gesneriaceae,Columnea,ciliata,2.5,1,2,,,66.00%,,1034 / 171,2 / 0 ,1xTawny-bellied Hermit,,
13/01/15,8,Main Trail,FH830,2124,Campanulaceae,Centropogon,nigricans,1.7,1,8,,,66.00%,,4999 / 2855,0 / 0,,,
13/01/15,4,Main Trail,FH430,1982,Gesneriaceae,Gasteranthus,lateralis,1,1,4,,,66.00%,,120 / 422,0 / 0,,,
13/01/15,12,Main Trail,FH1211,1974,Gesneriaceae,Columnea,kucinyakii,1,2,12,,,66.00%,,3865 / 617,1 / 1,"2xBrown Inca, 1xWhite-sided Flowerpiercer",Had to fix the camera position during the day it aimed a bit to high.,
13/01/15,6,Main Trail,FH631,1950,Gesneriaceae,Columnea,kucinyakii,1.9,4,6,,,66.00%,,1343 / 204,15 / 0 ,"2xBrown Inca,",,
14/01/15,13,Main Trail,FH1310,2304,Melastomataceae,Meriania,tomentosa,7,2,13,,,66.00%,8 videos were produced,1793 / 1609 / 143 / 870 / 27 / 48 / 1894 / 411,3,3xUnidentified,Buff-tailed Coronet? Gorgeted Sunangel? Because of the movement of the branch I was filming the second hummingbird is out of focus (camera's autofocused was focussing on something in the background at that point),
19/01/15,7,Main Trail,FH730,2307,Zingiberaceae,Renealmia,Sp 1,0.4,4,7,,,66.00%,,305 / 328,0,,,
19/01/15,8,Main Trail,FH831,2334,Gesneriaceae,Alloplectus,teuscheri,1.2,2,8,,,66.00%,,197 / 82,7 / 0 ,"1xVIolet-tailed Sylph_female, 1xUnidentified",,
19/01/15,5,Main Trail,FH532,2352,Gesneriaceae,Columnea,strigosa,1.2,2,5,,,66.00%,,1338 / 288,3 / 1,"1x Tawny-bellied Hermit, 1xTawny-bellied Hermit (probably); 1xViolet-tailed_Sylph (no actual flower contact)",,
19/01/15,6,Main Trail,FH632,2244,Gesneriaceae,Hepiella,ulmifolia,2.2,1,6,,,66.00%,,17 / 20,2 / 0,1xViolet-tailed Sylph_female (piercing),,
19/01/15,11,Main Trail,FH1112,2169,Gesneriaceae,Alloplectus,teuscheri,2,2,11,,,66.00%,,151 / 300,7 / 6,"5xCollared Inca, 2xSpeckled Hummingbird",,
19/01/15,12,Main Trail,FH1212,2127,Onagraceae,Fuchsia,macrostigma,0.9,2,12,,,66.00%,,874 / 329,37 / 8,"1xTawny-bellied Hermit; 2xBrown Inca, 2xViolet-tailed Sylph_male (piercing(",At one point there is a switch between the Inca the and Sylph within three seconds!,
19/01/15,4,Main Trail,FH431,2072,Onagraceae,Fuchsia,macrostigma,0.8,1,4,,,66.00%,,1343 / 352,0,,This fuchsia was maybe 100m away from the other with a camera and yet it resulted in 0 hummingbird in comparism with 8 or so in the other one.,
19/01/15,2,Main Trail,FH230,2048,Gesneriaceae,Neomortonia,Sp 1,0.6,1,2,,,66.00%,,142 / 121,0,,,
19/01/15,9,Main Trail,FH914,1952,Gesneriaceae,Columnea,kucinyakii,2.1,3,3,,,66.00%,,1628 / 1706,17 / 0,1xBrown Inca,,
20/01/15,13,Main Trail,FH1311,2307,Alstroemeriaceae,Bomarea,pardina,6,15,13,,,66.00%,"impossible to find a proper canopy flower today, it was too cloudy – 7 videos were produced",119 / 0 / 160 / 511 / 1311 / 370 / 1391,0,,"Ran the analysis two times, second time very low level, but still – no birds",
11/02/15,7,Main Trail,FH731,1958,Alstroemeriaceae,Bomarea,pardina,2.3,20,7,,,66.00%,,266 / 13 / 443 / 0,21 / 3 / 26 / 0,4xFawn-breasted Brilliant; 2xBrown Inca,"Wow, a Fawn-breasted Brilliant seems to be quite attached that flower.",
11/02/15,5,Main Trail,FH533,1967,Bromeliaceae,Guzmania,jaramilloi,0.7,1,5,,,66.00%,,156 / 476,0,,,
11/02/15,12,Main Trail,FH1213,1995,Bromeliaceae,Mezobromelia,capituligera,1,5,12,,,66.00%,,94 / 280,19 / 37,"10xBrown Inca, 1xViolet-tailed Sylph_fem;",,
11/02/15,9,Main Trail,FH915,2059,Gesneriaceae,Neomortonia,Sp 1,1,2,3,,,66.00%,,3 / 4,0,,,
11/02/15,4,Main Trail,FH432,2132,Onagraceae,Fuchsia,macrostigma,1.2,2,4,,,66.00%,,342 / 241,2 / 2,"1xTawny-bellied Hermit; 1xBrown Inca, 1xViolet-tailed Sylph",,
11/02/15,8,Main Trail,FH832,2133,Gesneriaceae,Columnea,ciliata,3,1,8,,,66.00%,,1359 / 1121,3 / 1,"2xViolet-tailed Sylph_male, 1xBrown Inca",,
11/02/15,11,Main Trail,FH1113,2177,Alstroemeriaceae,Bomarea,pardina,3,10,11,,,66.00%,Cameras was stuck in Preview-mode ... must have forgotten to set it back after testing. My bad. ,,,,,
11/02/15,2,Main Trail,FH231,2326,Heliconiaceae,Heliconia,impudica,1.8,1,2,,,66.00%,,2 / 9,0 / 4,1xCollared Inca,,
11/02/15,6,Main Trail,FH633,2312,Gesneriaceae,Columnea,strigosa,1.7,1,6,,,66.00%,,674 / 391,1 / 0,1xTawny-bellied Hermit,,
12/02/15,13,Main Trail,FH1312,2124,Gesneriaceae,Capanea,affinis,6,2,13,,,66.00%,Camera only filmed 15 minutes and died with empty batteries. ,4427,0,,,
25/02/15,5,Main Trail,FH534,1899,Gesneriaceae,Columnea,picta,2,1,5,,,66.00%,,940 / 1306,3 / 1,3xViolet-tailed Sylph_female,Probably pierced the flower,
